run,14,ga,500,0,68750.46264
run,14,ga,500,1,35586.85802
run,14,ga,500,2,69725.78743
run,14,ga,500,3,76820.17263
run,14,ga,500,4,59414.02478
run,14,ga,2000,0,36827.14249
run,14,ga,2000,1,34299.76425
run,14,ga,2000,2,34270.99826
run,14,ga,2000,3,57409.22349
run,14,ga,2000,4,36217.51976
run,14,ga,8000,0,45276.71148
run,14,ga,8000,1,34246.93276
run,14,ga,8000,2,34273.28965
run,14,ga,8000,3,49190.5301
run,14,ga,8000,4,48193.66523
run,14,ga,32000,0,36908.91707
run,14,ga,32000,1,34213.33444
run,14,ga,32000,2,34237.89907
run,14,ga,32000,3,47097.57091
run,14,ga,32000,4,33635.43497
feas,14,random,24,221
feas,14,climb,13,145
feas,14,anneal,16,145
feas,14,ga,29,247
meta,15,32,4,46,1254.5,76581.44667,109116.991,13,502.5
feas,15,human,13,502.5
feas,15,centroid,9,342
run,15,random,500,0,56713.16292
run,15,random,500,1,56677.86019
run,15,random,500,2,57020.46392
run,15,random,500,3,56935.37037
run,15,random,500,4,55640.31317
run,15,random,2000,0,56596.27712
run,15,random,2000,1,56173.73298
run,15,random,2000,2,55968.45042
run,15,random,2000,3,56866.26532
run,15,random,2000,4,55308.32628
run,15,random,8000,0,55086.97421
run,15,random,8000,1,55710.47909
run,15,random,8000,2,55263.24051
run,15,random,8000,3,56251.83353
run,15,random,8000,4,55308.32628
run,15,random,32000,0,54801.93454
run,15,random,32000,1,55478.30264
run,15,random,32000,2,54911.40455
run,15,random,32000,3,55171.51019
run,15,random,32000,4,55026.60471
run,15,climb,500,0,55812.07752
run,15,climb,500,1,56570.50183
run,15,climb,500,2,54872.35812
run,15,climb,500,3,54851.81928
run,15,climb,500,4,54901.73175
run,15,climb,2000,0,55182.8038
run,15,climb,2000,1,54614.63764
run,15,climb,2000,2,54640.31304
run,15,climb,2000,3,54608.48533
run,15,climb,2000,4,54518.42989
run,15,climb,8000,0,54569.70359
run,15,climb,8000,1,54565.46306
run,15,climb,8000,2,54541.90906
run,15,climb,8000,3,54560.10997
run,15,climb,8000,4,54518.42989
run,15,climb,32000,0,54551.77803
run,15,climb,32000,1,54564.87263
run,15,climb,32000,2,54541.28224
run,15,climb,32000,3,54537.23638
run,15,climb,32000,4,54518.42989
run,15,anneal,500,0,55865.22651
run,15,anneal,500,1,54722.66635
run,15,anneal,500,2,55037.10828
run,15,anneal,500,3,56166.10217
run,15,anneal,500,4,55117.87028
run,15,anneal,2000,0,55752.57646
run,15,anneal,2000,1,55018.24656
run,15,anneal,2000,2,54690.59317
run,15,anneal,2000,3,54637.52687
run,15,anneal,2000,4,56227.33457
run,15,anneal,8000,0,54650.82457
run,15,anneal,8000,1,54800.32372
run,15,anneal,8000,2,54632.50068
run,15,anneal,8000,3,54633.22613
run,15,anneal,8000,4,54610.1891
run,15,anneal,32000,0,54732.8432
run,15,anneal,32000,1,54604.66354
run,15,anneal,32000,2,54664.0717
run,15,anneal,32000,3,54635.80185
run,15,anneal,32000,4,54601.54085
run,15,ga,500,0,56236.71525
run,15,ga,500,1,56441.68272
run,15,ga,500,2,57269.04879
run,15,ga,500,3,55098.35654
run,15,ga,500,4,56145.31509
run,15,ga,2000,0,54990.40792
run,15,ga,2000,1,55726.70336
run,15,ga,2000,2,56573.85831
run,15,ga,2000,3,54975.50135
run,15,ga,2000,4,54722.59487
run,15,ga,8000,0,54641.80919
run,15,ga,8000,1,54707.74668
run,15,ga,8000,2,54948.26052
run,15,ga,8000,3,54629.87745
