lib	alg	dim	budget_factor	wins	losses	pairs	p_better	holm_better	p_worse	holm_worse	verdict
mealpy	OriginalBA	20	500	5	835	840	1	1	4.72543e-241	1.3751e-238	worse
mealpy	OriginalAEO	20	500	1163	37	1200	2.1158e-291	4.90866e-289	1	1	better
mealpy	OriginalBSO	20	500	1158	42	1200	4.39231e-284	9.75092e-282	1	1	better
mealpy	OriginalBFO	20	500	71	1129	1200	1	1	3.68862e-246	1.07708e-243	worse
mealpy	ImprovedSLO	20	500	1079	121	1200	5.86366e-193	7.97457e-191	1	1	better
mealpy	OriginalLCO	20	500	1065	135	1200	4.7778e-180	5.92447e-178	1	1	better
mealpy	OriginalHGS	20	500	1098	102	1200	9.56554e-212	1.36787e-209	1	1	better
mealpy	BaseALO	20	500	484	6	490	5.90468e-135	6.14086e-133	1	1	better
mealpy	CPSO	20	500	731	469	1200	1.95265e-14	1.34733e-12	1	1	better
mealpy	OriginalEO	20	500	1159	41	1200	1.59022e-285	3.57799e-283	1	1	better
mealpy	DE	20	500	493	707	1200	1	1	3.53132e-10	8.89893e-08	worse
mealpy	ModifiedBA	20	500	1065	135	1200	4.7778e-180	5.92447e-178	1	1	better
mealpy	BaseTLO	20	500	1145	55	1200	3.09647e-266	6.25486e-264	1	1	better
mealpy	OriginalPFA	20	500	576	624	1200	0.921408	1	0.0874141	1	not shown
mealpy	BaseFOA	20	500	353	847	1200	1	1	1.36538e-47	3.64557e-45	worse
mealpy	OriginalGBO	20	500	1163	37	1200	2.1158e-291	4.90866e-289	1	1	better
mealpy	TVAC	20	500	1174	26	1200	1.28335e-308	3.28537e-306	1	1	better
mealpy	BaseFBIO	20	500	1182	18	1200	2.17389e-322	6.06515e-320	1	1	better
mealpy	ImprovedBSO	20	500	1123	77	1200	4.44251e-239	7.33015e-237	1	1	better
mealpy	OriginalAO	20	500	367	833	1200	1	1	1.99671e-42	5.25134e-40	worse
mealpy	BaseGSKA	20	500	1145	55	1200	3.09647e-266	6.25486e-264	1	1	better
mealpy	BaseLCO	20	500	826	74	900	7.37357e-162	8.40587e-160	1	1	better
mealpy	OriginalSSpiderA	20	500	625	575	1200	0.078592	1	0.929538	1	not shown
mealpy	BaseHS	20	500	1144	56	1200	6.33725e-265	1.26111e-262	1	1	better
mealpy	AdaptiveEO	20	500	1159	41	1200	1.59022e-285	3.57799e-283	1	1	better
mealpy	OriginalWCA	20	500	17	2	19	0.000364304	0.0196724	0.999962	1	better
mealpy	OriginalMRFO	20	500	1173	27	1200	5.58515e-307	1.40746e-304	1	1	better
mealpy	OriginalEOA	20	500	1088	112	1200	1.15126e-201	1.60025e-199	1	1	better
mealpy	OriginalABC	20	500	1111	89	1200	1.50037e-225	2.32558e-223	1	1	better
mealpy	ModifiedAEO	20	500	1153	47	1200	4.94899e-277	1.05413e-274	1	1	better
mealpy	OriginalSFO	20	500	827	373	1200	2.58068e-40	2.03874e-38	1	1	better
mealpy	BaseBBO	20	500	1138	62	1200	3.18606e-257	5.8942e-255	1	1	better
mealpy	OriginalNMRA	20	500	1148	52	1200	3.2208e-270	6.69926e-268	1	1	better
mealpy	OriginalACOR	20	500	1070	130	1200	1.42202e-184	1.83441e-182	1	1	better
mealpy	ImprovedSFO	20	500	911	289	1200	1.13769e-75	1.00117e-73	1	1	better
mealpy	OriginalCRO	20	500	1114	86	1200	7.3916e-229	1.16787e-226	1	1	better
mealpy	LevyJA	20	500	1155	45	1200	8.01255e-280	1.75475e-277	1	1	better
mealpy	OriginalHS	20	500	1129	71	1200	3.68862e-246	6.45508e-244	1	1	better
mealpy	OriginalCSO	20	500	451	749	1200	1	1	3.4125e-18	8.70188e-16	worse
mealpy	OriginalCOA	20	500	1135	65	1200	1.79217e-253	3.26175e-251	1	1	better
mealpy	LevyQSA	20	500	1180	20	1200	7.93924e-319	2.18329e-316	1	1	better
mealpy	OppoQSA	20	500	1171	29	1200	9.47285e-304	2.33979e-301	1	1	better
mealpy	BaseBRO	20	500	711	489	1200	7.89561e-11	5.29006e-09	1	1	better
mealpy	OriginalSLO	20	500	1004	196	1200	2.21841e-131	2.28496e-129	1	1	better
mealpy	OriginalMVO	20	500	1145	55	1200	3.09647e-266	6.25486e-264	1	1	better
mealpy	CLPSO	20	500	1174	26	1200	1.28335e-308	3.28537e-306	1	1	better
mealpy	OriginalNRO	20	500	1175	25	1200	2.83723e-310	7.34842e-308	1	1	better
mealpy	BaseSCA	20	500	1062	138	1200	2.24644e-177	2.71819e-175	1	1	better
mealpy	BaseGCO	20	500	1035	165	1200	1.07816e-154	1.19676e-152	1	1	better
mealpy	OriginalArchOA	20	500	1087	83	1170	3.9692e-224	5.99349e-222	1	1	better
mealpy	SwarmHC	20	500	1074	126	1200	2.91616e-188	3.82016e-186	1	1	better
mealpy	ImprovedTLO	20	500	899	301	1200	8.00873e-70	6.9676e-68	1	1	better
mealpy	OriginalMSA	20	500	1187	13	1200	0	0	1	1	better
mealpy	WOA	20	500	1129	71	1200	3.68862e-246	6.45508e-244	1	1	better
mealpy	OriginalIWO	20	500	1128	72	1200	5.78976e-245	9.9005e-243	1	1	better
mealpy	BaseGA	20	500	1143	57	1200	1.27312e-263	2.46986e-261	1	1	better
mealpy	ModifiedEO	20	500	1189	11	1200	0	0	1	1	better
mealpy	ImprovedNMRA	20	500	1131	69	1200	1.43156e-248	2.5625e-246	1	1	better
mealpy	BaseCHIO	20	500	235	965	1200	1	1	1.24469e-105	3.44779e-103	worse
mealpy	OriginalHHO	20	500	1072	128	1200	2.07217e-186	2.69382e-184	1	1	better
mealpy	OriginalGWO	20	500	1160	40	1200	5.61541e-287	1.26908e-284	1	1	better
mealpy	ImprovedQSA	20	500	1177	23	1200	1.2277e-313	3.30252e-311	1	1	better
mealpy	OriginalFBIO	20	500	1183	17	1200	0	0	1	1	better
mealpy	OriginalBeesA	20	500	666	534	1200	7.68072e-05	0.0042244	0.999939	1	better
mealpy	BaseEFO	20	500	1166	34	1200	6.22133e-296	1.46823e-293	1	1	better
mealpy	OriginalSA	20	500	1154	46	1200	2.01373e-278	4.34966e-276	1	1	better
